article_id,url,__canon__,published_at,dupe_key
c8ae0ead-5a84-4cd6-9aa8-fc7895a245f6,https://www.raskmedia.com.au/2025/06/29/rmd-share-price-why-investors-like-healthcare-shares-4/,RMD share price: why investors like healthcare shares,2025-06-29 03:18:01+00:00,canon
85b993dd-1e5d-471a-888a-6a23c3025ba8,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-june-26-2025-11761578,5 Things to Know Before the Stock Market Opens,2025-06-26 11:35:26+00:00,canon
fa8cf154-bba4-4f22-a0a4-72ce1903c096,https://www.gurufocus.com/news/2939467/investor-alert-pomerantz-law-firm-reminds-investors-with-losses-on-their-investment-in-doubleverify-holdings-incof-class-action-lawsuit-and-upcoming-deadlines-dv,"INVESTOR ALERT: Pomerantz Law Firm Reminds Investors with Losses on their Investment in DoubleVerify Holdings, Inc. of Class Action Lawsuit and Upcoming Deadlines - DV",2025-06-23 16:00:04+00:00,canon
a1c4e491-1ea0-4f78-9070-2fecb3d94aa1,https://www.gurufocus.com/news/2931725/investor-alert-pomerantz-law-firm-reminds-investors-with-losses-on-their-investment-in-doubleverify-holdings-incof-class-action-lawsuit-and-upcoming-deadlines-dv,"INVESTOR ALERT: Pomerantz Law Firm Reminds Investors with Losses on their Investment in DoubleVerify Holdings, Inc. of Class Action Lawsuit and Upcoming Deadlines - DV",2025-06-17 16:00:04+00:00,canon
85d074ac-4c8a-4a58-84e5-845f93a87225,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-june-13-2025-11753375,5 Things to Know Before the Stock Market Opens,2025-06-13 11:29:54+00:00,canon
5d29b888-0dc3-4976-9fc7-3a9de86e1c06,https://www.gurufocus.com/news/2918288/investor-alert-pomerantz-law-firm-reminds-investors-with-losses-on-their-investment-in-doubleverify-holdings-incof-class-action-lawsuit-and-upcoming-deadlines-dv,"INVESTOR ALERT: Pomerantz Law Firm Reminds Investors with Losses on their Investment in DoubleVerify Holdings, Inc. of Class Action Lawsuit and Upcoming Deadlines - DV",2025-06-10 14:00:05+00:00,canon
1391c91f-39d0-4d95-8418-189e421dfe83,https://www.manilatimes.net/2025/06/04/tmt-newswire/globenewswire/canadian-general-investments-investment-update-unaudited/2127586,Canadian General Investments: Investment Update - Unaudited,2025-06-04 14:22:14+00:00,canon
f5875de9-ad80-4ff1-bd93-32f98bc1cf44,https://www.rttnews.com/story.aspx?Id=3543923,Futures Pointing To Roughly Flat Open On Wall Street,2025-06-03 12:50:45+00:00,canon
4c999d9b-15df-4822-bdff-fcc93d202344,https://www.raskmedia.com.au/2025/05/20/an-easy-way-to-value-rmd-and-nwl-shares-3/,An easy way to value RMD and NWL shares,2025-05-19 19:52:49+00:00,canon
3362b4f1-4766-4fa8-88c1-6bafb58f0afe,https://www.raskmedia.com.au/2025/05/18/rmd-share-price-why-investors-like-healthcare-shares-2/,RMD share price: why investors like healthcare shares,2025-05-18 03:22:48+00:00,canon
8f029b2a-4889-4563-b198-c1a5ea1b8857,https://www.cnbc.com/2025/05/11/here-are-the-3-things-were-watching-in-the-stock-market-in-the-week-ahead.html,Here are the 3 things we're watching in the stock market in the week ahead,2025-05-11 17:22:23+00:00,canon
7125e796-8abf-4fa0-9fec-6b8b8a4a82c6,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-may-08-2025-11730596,5 Things to Know Before the Stock Market Opens,2025-05-08 12:01:14+00:00,canon
2631a6ee-969e-4b75-9dcc-9a0a0e50abca,https://www.raskmedia.com.au/2025/05/07/min-and-resmed-cdi-2-asx-shares-to-dig-into-2/,MIN and Resmed CDI: 2 ASX shares to dig into,2025-05-06 19:52:48+00:00,canon
5b429833-ce99-4f0f-b7c7-f7fd8325a8b4,https://www.manilatimes.net/2025/05/05/tmt-newswire/globenewswire/canadian-general-investments-investment-update-unaudited/2105975,Canadian General Investments: Investment Update - Unaudited,2025-05-05 15:40:52+00:00,canon
ae200aa3-9d12-445d-829a-63325bdd9501,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-may-5-2025-11728003,5 Things to Know Before the Stock Market Opens,2025-05-05 11:23:01+00:00,canon
e488caed-5484-4eef-abfb-e6f3fdd76d8f,https://www.zacks.com/stock/news/2461034/advanced-micro-devices-inc-amd-is-attracting-investor-attention-here-is-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|most_searched_stocks-2461034,"Advanced Micro Devices, Inc. (AMD) is Attracting Investor Attention: Here is What You Should Know",2025-05-02 13:00:12+00:00,canon
f18d171c-daa0-4d46-b52f-d845a5ad74d7,https://www.raskmedia.com.au/2025/04/28/rmd-share-price-why-investors-like-healthcare-shares/,RMD share price: why investors like healthcare shares,2025-04-27 22:32:48+00:00,canon
aad03b0f-e156-4661-b24f-8bad25dbd543,https://www.raskmedia.com.au/2025/04/15/min-and-resmed-cdi-2-asx-shares-to-dig-into/,MIN and Resmed CDI: 2 ASX shares to dig into,2025-04-14 21:23:02+00:00,canon
0236db26-e299-4082-99a1-afbccc15f94d,https://www.gurufocus.com/news/2764397/dv-investors-have-opportunity-to-join-doubleverify-holdings-inc-fraud-investigation-with-the-schall-law-firm,"DV Investors Have Opportunity to Join DoubleVerify Holdings, Inc. Fraud Investigation with the Schall Law Firm",2025-04-07 11:00:06+00:00,canon
1915d542-3839-4220-b934-bc148eeaadcd,https://www.raskmedia.com.au/2025/04/07/an-easy-way-to-value-rmd-and-nwl-shares/,An easy way to value RMD and NWL shares,2025-04-06 21:22:52+00:00,canon
fcea0251-23ba-4c03-8494-3bd7eaa4b03e,https://www.manilatimes.net/2025/04/04/tmt-newswire/globenewswire/canadian-general-investments-investment-update-unaudited/2086375,Canadian General Investments: Investment Update - Unaudited,2025-04-03 20:31:39+00:00,canon
957dd282-39b2-4371-9ae5-2957f37de7b7,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-march-27-2025-11704151,5 Things to Know Before the Stock Market Opens,2025-03-27 11:55:57+00:00,canon
45d4dadd-6a33-4ef6-ab85-a1474cb15b8f,https://www.zacks.com/stock/news/2432718/heres-why-nvidia-nvda-is-a-strong-growth-stock?cid=CS-ZC-FT-tale_of_the_tape|zacks_education_growth_score-2432718,Here's Why Nvidia (NVDA) is a Strong Growth Stock,2025-03-20 13:45:08+00:00,canon
